ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
Christ College ATM,2011-03-05,117,57,60,582300,328100,254200,Saturday,National_holiday,True,WHH,Saturday,-3,-3,2011-03,2011-03
Airport ATM,2011-03-05,118,96,22,585800,490600,95200,Saturday,National_holiday,True,WHH,Saturday,74,74,2011-03,2011-03
KK Nagar ATM,2011-03-05,254,209,45,751600,635300,116300,Saturday,National_holiday,True,WHH,Saturday,164,164,2011-03,2011-03
Mount Road ATM,2011-03-05,254,122,132,1005600,684700,320900,Saturday,National_holiday,True,WHH,Saturday,-10,-10,2011-03,2011-03
Big Street ATM,2011-03-05,39,24,15,116000,90100,25900,Saturday,National_holiday,True,WHH,Saturday,9,9,2011-03,2011-03
Big Street ATM,2011-03-06,42,16,26,110200,57600,52600,Sunday,National_holiday,True,HHW,Sunday,-10,-10,2011-03,2011-03
Mount Road ATM,2011-03-06,213,62,151,668600,368800,299800,Sunday,National_holiday,True,HHW,Sunday,-89,-89,2011-03,2011-03
Airport ATM,2011-03-06,107,77,30,428600,355600,73000,Sunday,National_holiday,True,HHW,Sunday,47,47,2011-03,2011-03
KK Nagar ATM,2011-03-06,172,119,53,637800,483200,154600,Sunday,National_holiday,True,HHW,Sunday,66,66,2011-03,2011-03
Christ College ATM,2011-03-06,76,21,55,333400,114700,218700,Sunday,National_holiday,True,HHW,Sunday,-34,-34,2011-03,2011-03
Christ College ATM,2011-03-07,74,34,40,231800,134400,97400,Monday,National_holiday,,HWW,Monday,-6,-6,2011-03,2011-03
KK Nagar ATM,2011-03-07,229,177,52,667100,505500,161600,Monday,National_holiday,,HWW,Monday,125,125,2011-03,2011-03
Airport ATM,2011-03-07,104,84,20,409800,310100,99700,Monday,National_holiday,,HWW,Monday,64,64,2011-03,2011-03
Mount Road ATM,2011-03-07,194,111,83,644900,481600,163300,Monday,National_holiday,,HWW,Monday,28,28,2011-03,2011-03
Big Street ATM,2011-03-07,28,18,10,111300,73900,37400,Monday,National_holiday,,HWW,Monday,8,8,2011-03,2011-03
Big Street ATM,2011-03-08,45,27,18,134400,81600,52800,Tuesday,National_holiday,,WWW,Tuesday,9,9,2011-03,2011-03
Mount Road ATM,2011-03-08,218,133,85,950400,793300,157100,Tuesday,National_holiday,,WWW,Tuesday,48,48,2011-03,2011-03
Airport ATM,2011-03-08,160,107,53,670700,470100,200600,Tuesday,National_holiday,,WWW,Tuesday,54,54,2011-03,2011-03
KK Nagar ATM,2011-03-08,220,169,51,813100,617500,195600,Tuesday,National_holiday,,WWW,Tuesday,118,118,2011-03,2011-03
Christ College ATM,2011-03-08,91,38,53,323000,144700,178300,Tuesday,National_holiday,,WWW,Tuesday,-15,-15,2011-03,2011-03
Christ College ATM,2011-03-09,109,65,44,450700,288000,162700,Wednesday,National_holiday,,WWW,Wednesday,21,21,2011-03,2011-03
KK Nagar ATM,2011-03-09,286,231,55,1375800,1146800,229000,Wednesday,National_holiday,,WWW,Wednesday,176,176,2011-03,2011-03
Big Street ATM,2011-03-09,32,22,10,173100,142600,30500,Wednesday,National_holiday,,WWW,Wednesday,12,12,2011-03,2011-03
Mount Road ATM,2011-03-09,197,106,91,620900,419200,201700,Wednesday,National_holiday,,WWW,Wednesday,15,15,2011-03,2011-03
Airport ATM,2011-03-09,127,97,30,641900,558100,83800,Wednesday,National_holiday,,WWW,Wednesday,67,67,2011-03,2011-03
Big Street ATM,2011-03-10,25,17,8,127600,101000,26600,Thursday,National_holiday,,WWW,Thursday,9,9,2011-03,2011-03
Mount Road ATM,2011-03-10,132,76,56,529900,349300,180600,Thursday,National_holiday,,WWW,Thursday,20,20,2011-03,2011-03
Airport ATM,2011-03-10,113,89,24,372600,299600,73000,Thursday,National_holiday,,WWW,Thursday,65,65,2011-03,2011-03
KK Nagar ATM,2011-03-10,205,153,52,759900,535200,224700,Thursday,National_holiday,,WWW,Thursday,101,101,2011-03,2011-03
